"","HARBOUR_NAME","HARBOUR_CODE","HARBOUR_TYPE","PROVINCE","REGION","AUTHORITY_NAME","LONGITUDE","LATITUDE","HARBOUR_CONDITION","HC_TRANS","HC_CUT","HC_CUT_ORD","HC_CUT_ORD_RC","TOTAL_REPLACEMENT_COST","ROOT_6_TRC","ROOT_6_TRC_CUT","ROOT_6_TRC_CUT_ORD","DEGREE_OF_FACILITY_PROTECTION","DFP_RC","ISI_GM"
"1","BARTLETTS HARBOUR",21,"Core","NFLD","NFLD","Harbour Authority of Bartlett's Harbour  ",-56.99149,50.94221,1.228253749,1.38950769895603,"(-0.0131,2.63]",1,5,1288476.8,10.4314841023245,"(8.75,13.1]",3,1,5,4.21716332650875
"2","ETANG-DU-NORD (L'ETANG-DU-NORD)",3574,"Core","QUE","QC","Administration du havre de pêche de L'Étang-Du-Nord ",-61.9587,47.36995,2.677005985,4.83324652569324,"(2.63,5.25]",2,4,38866200,18.4046973485012,"(17.5,21.9]",5,3,3,3.91486764116886
"3","LES ESCOUMINS (BASQUES)",4035,"Core","QUE","QC","Administration portuaire de Les Escoumins  ",-69.3894,48.3461,2.384338772,4.01595407304965,"(2.63,5.25]",2,4,4658000,12.9230963029169,"(8.75,13.1]",3,2,4,3.63424118566428
"4","NORTH HEAD -FISHERMEN'S WHARF",2603,"Core","NB","M&G","Grand Manan Harbour Authority",-66.7502,44.7628,3.170148248,6.33471841923923,"(5.25,7.88]",3,3,17808000,16.159795399373,"(13.1,17.5]",4,2,4,3.63424118566428
"5","AULDS COVE",1010,"Core","NS","M&G","Harbour Authority of Auld's Cove",-62.172,45.761,3.093247588,6.09064788644973,"(5.25,7.88]",3,3,1555000,10.7635384251918,"(8.75,13.1]",3,1,5,3.55689330449006
"6","MACHONS POINT",2041,"Core","PEI","M&G","Harbour Authority of Machons Point",-62.5138,46.0139,2.776237624,5.12307385621353,"(2.63,5.25]",2,4,2525000,11.6692666469853,"(8.75,13.1]",3,3,3,3.30192724889463
"7","MONT-LOUIS OUEST",3695,"Core","QUE","QC","Administration portuaire Mont-Louis",-65.7367,49.2348,3.204396265,6.44457002486499,"(5.25,7.88]",3,3,21304450,16.6499035148836,"(13.1,17.5]",4,3,3,3.30192724889463
"8","SAINTE-MARIE-SUR-MER",2640,"Core","NB","M&G","Administration Portuaire de Ste-Marie-St-Raphaël",-64.5648,47.7806,2.903120936,5.50280602794931,"(5.25,7.88]",3,3,7690000,14.0492904151835,"(13.1,17.5]",4,3,3,3.30192724889463
"9","CENTREVILLE (TROUT COVE)",1051,"Core","NS","M&G","Harbour Authority of Centreville (Trout Cove)",-62.7624,44.7853,2.295751634,3.77989593495727,"(2.63,5.25]",2,4,7650000,14.0370842280771,"(13.1,17.5]",4,4,2,3.1748021039364
"10","TOURELLES (ST-JOACHIM)",3862,"Core","QUE","QC","Administration portuaire de Tourelles",-66.41807,49.15824,2.740406355,5.01769137586198,"(2.63,5.25]",2,4,19527250,16.409934505946,"(13.1,17.5]",4,4,2,3.1748021039364
"11","INGALLS HEAD",2565,"Core","NB","M&G","Grand Manan Harbour Authority",-66.7563,44.662,3.080545369,6.05067985628311,"(5.25,7.88]",3,3,21270000,16.6454132478108,"(13.1,17.5]",4,4,2,2.88449914061482
"12","METEGHAN",1205,"Core","NS","M&G","Harbour Authority of Meteghan",-66.1666,44.1941,3.593939394,7.74307023535126,"(5.25,7.88]",3,3,16500000,15.9556312467722,"(13.1,17.5]",4,4,2,2.88449914061482
"13","POOL'S COVE",396,"Core","NFLD","NFLD","Harbour Authority of Pool's Cove",-55.4298,47.6803,3.868728847,8.71182748681156,"(7.88,10.5]",4,2,1583010.11,10.7956123487188,"(8.75,13.1]",3,3,3,2.6207413942089
"14","SEAL COVE-FISHERMEN'S WHARVES",2626,"Core","NB","M&G","Grand Manan Harbour Authority",-66.8399,44.6484,4.13612837,9.69505806972426,"(7.88,10.5]",4,2,19475000,16.4026081920662,"(13.1,17.5]",4,4,2,2.51984209978975
"15","BAULINE",24,"Core","NFLD","NFLD","Harbour Authority of Bauline",-52.8341,47.72317,4.135671458,9.69334452849201,"(7.88,10.5]",4,2,4985325.99,13.0702008168772,"(8.75,13.1]",3,4,2,2.28942848510666
"16","PINKNEYS POINT",1241,"Core","NS","M&G","Harbour Authority of Pinkney's Point",-66.0542,43.704,3.076622361,6.03835591096395,"(5.25,7.88]",3,3,6395000,13.6240666052484,"(13.1,17.5]",4,5,1,2.28942848510666
"17","TWILLINGATE (SHOAL TICKLE)",531,"Core","NFLD","NFLD","Harbour Authority of Twillingate",-54.7701,49.64654,4.733640526,12.031296758578,"(10.5,13.1]",5,1,7235210.04,13.9072690700152,"(13.1,17.5]",4,4,2,2
